chunk,runtime_seconds,num_predicted_masks,num_ground_truth_masks,count_error,dice,semantic_iou,true_positives_iou001,false_positives_iou001,false_negatives_iou001,precision_iou001,recall_iou001,f1_iou001,mean_matched_iou_iou001,panoptic_quality_iou001,true_positives_iou05,false_positives_iou05,false_negatives_iou05,precision_iou05,recall_iou05,f1_iou05,mean_matched_iou_iou05,panoptic_quality_iou05
chunk_z5_y55_x5000_z000128_y000128_x000768,6.390840498963371,85,116,-31,0.6871075899387679,0.5233540727885857,51,34,65,0.6,0.4396551724137931,0.5074626865671642,0.38869643378046564,0.19724893654531092,13,72,103,0.15294117647058825,0.11206896551724138,0.1293532338308458,0.624764004067777,0.08081524430727464
chunk_z5_y55_x5000_z000128_y000128_x000896,6.318574147997424,75,134,-59,0.6850948344209307,0.5210222397439762,54,21,80,0.72,0.40298507462686567,0.5167464114832535,0.4370271929487206,0.22583223367685085,25,50,109,0.3333333333333333,0.1865671641791045,0.23923444976076555,0.6257916286176527,0.14971091593723748
chunk_z5_y55_x5000_z000128_y000128_x001024,6.383142007049173,76,106,-30,0.7371723377749949,0.5837473788594035,57,19,49,0.75,0.5377358490566038,0.6263736263736264,0.5152358025190765,0.32273011806139956,34,42,72,0.4473684210526316,0.32075471698113206,0.37362637362637363,0.636516164652418,0.2378192263536507
chunk_z5_y55_x5000_z000128_y000128_x001152,6.396766021032818,84,96,-12,0.7604015704461016,0.613425729104668,60,24,36,0.7142857142857143,0.625,0.6666666666666666,0.5224970796999429,0.34833138646662853,38,46,58,0.4523809523809524,0.3958333333333333,0.4222222222222222,0.6430345849594247,0.2715034914273126
chunk_z5_y55_x5000_z000128_y000256_x000000,6.347958164056763,34,140,-106,0.33244019881950915,0.1993572875672403,21,13,119,0.6176470588235294,0.15,0.24137931034482757,0.21083604038734988,0.05089145802453273,2,32,138,0.058823529411764705,0.014285714285714285,0.022988505747126433,0.5825835342637543,0.013392724925603547
chunk_z5_y55_x5000_z000128_y000256_x000128,6.399815713986754,58,130,-72,0.3919195336891158,0.2437188572958808,28,30,102,0.4827586206896552,0.2153846153846154,0.29787234042553196,0.24416909039287946,0.07273121841490027,4,54,126,0.06896551724137931,0.03076923076923077,0.04255319148936171,0.5982553455245434,0.025457674277640143
chunk_z5_y55_x5000_z000128_y000256_x000256,6.483583254972473,66,149,-83,0.5132743362831859,0.34523809523809523,45,21,104,0.6818181818181818,0.30201342281879195,0.41860465116279066,0.31545775821848243,0.13205208483564382,9,57,140,0.13636363636363635,0.06040268456375839,0.08372093023255814,0.6370914816536665,0.0533378914872837
chunk_z5_y55_x5000_z000128_y000256_x000384,6.351315758074634,75,161,-86,0.5671742748560392,0.3958431684349144,52,23,109,0.6933333333333334,0.32298136645962733,0.4406779661016949,0.2810418779713325,0.12384896317380753,9,66,152,0.12,0.055900621118012424,0.07627118644067797,0.5969116543365773,0.04552716007651861
chunk_z5_y55_x5000_z000128_y000256_x000512,6.45689177303575,73,137,-64,0.5389536550878546,0.3688819707634001,49,24,88,0.6712328767123288,0.35766423357664234,0.46666666666666673,0.31902046521226785,0.14887621709905832,6,67,131,0.0821917808219178,0.043795620437956206,0.05714285714285714,0.6183463997541753,0.03533407998595287
chunk_z5_y55_x5000_z000128_y000256_x000640,6.375285490998067,78,118,-40,0.5567640520800254,0.3857747950932395,54,24,64,0.6923076923076923,0.4576271186440678,0.5510204081632654,0.34527873139222465,0.19025562750183805,12,66,106,0.15384615384615385,0.1016949152542373,0.12244897959183673,0.5787678184015054,0.0708695287838578
